Ano;Municípios; Homicídio  Doloso;Total de vítimas de Homicidio Doloso; Latrocínio; Furtos;Abigeato*;Furto de Veículo ; Roubos; Roubo de Veículo; Estelionato; Delitos Relacionados à Armas e Munições; Entorpecentes - Posse; Entorpecentes - Tráfico;Vítimas de Latrocínio;
2019;ACEGUA;0;0;0;25;8;0;1;1;4;1;0;0;0;
2019;AGUA SANTA;0;0;0;26;5;1;1;0;1;3;1;0;0;
2019;AGUDO;0;0;0;95;4;5;3;0;23;6;5;7;0;
2019;AJURICABA;0;0;0;26;4;1;2;0;7;6;12;1;0;
2019;ALECRIM;1;1;0;27;10;3;1;0;13;8;4;3;0;
2019;ALEGRETE;5;5;0;814;100;15;124;4;142;37;70;77;0;
2019;ALEGRIA;1;1;0;20;4;3;0;0;4;2;0;0;0;
2019;ALMIRANTE TAMANDARE DO SUL;0;0;0;18;3;1;1;1;2;2;0;0;0;
2019;ALPESTRE;1;1;0;59;24;1;1;0;2;7;1;0;0;
2019;ALTO ALEGRE;0;0;0;10;5;1;0;0;1;2;0;0;0;
2019;ALTO FELIZ;0;0;0;6;0;0;2;0;2;1;0;0;0;
2019;ALVORADA;82;92;2;1461;23;258;3164;612;389;89;124;344;2;
2019;AMARAL FERRADOR;1;1;0;24;4;3;3;0;6;2;0;2;0;
2019;AMETISTA DO SUL;1;1;0;36;4;8;3;0;2;5;16;1;0;
2019;ANDRE DA ROCHA;0;0;0;15;7;0;0;0;3;2;1;0;0;
2019;ANTA GORDA;0;0;0;46;5;3;3;1;6;2;0;0;0;
2019;ANTONIO PRADO;0;0;0;105;5;6;10;4;30;4;11;15;0;
2019;ARAMBARE;0;0;0;64;12;0;7;0;4;3;4;3;0;
2019;ARARICA;0;0;0;40;1;1;6;5;5;6;11;7;0;
2019;ARATIBA;0;0;0;23;2;1;1;0;7;7;2;0;0;
2019;ARROIO DO MEIO;2;3;0;122;3;5;18;8;40;4;39;12;0;
2019;ARROIO DO PADRE;0;0;0;5;2;1;2;0;1;1;1;0;0;
2019;ARROIO DO SAL;1;1;0;407;9;13;18;6;42;7;34;20;0;
